epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,5.27144,1.26561,53.8603,1.38984,0.28866,0.08173,0.0166,0.00737,1.11071,58.5835,1.42306,0.0001,0.0001,0.0001
2,9.86281,1.20712,41.0779,1.23643,0.00952,0.22596,0.01103,0.00245,1.01074,44.7254,1.20458,0.000210396,0.000210396,0.000210396
3,14.6087,0.98637,25.8942,1.0088,0.01344,0.44068,0.01156,0.00738,0.56143,10.1334,0.48288,0.000318565,0.000318565,0.000318565
4,19.4061,0.73431,6.23077,0.61622,0.00247,0.31015,0.00228,0.00112,0.49475,2.75166,0.42019,0.000424506,0.000424506,0.000424506
5,24.425,0.68516,2.27211,0.55825,0.0049,0.30625,0.00428,0.00217,0.4267,2.02295,0.3553,0.00052822,0.00052822,0.00052822
6,29.8585,0.58763,1.8881,0.44959,0.00327,0.01923,0.00665,0.00407,0.45274,2.04375,0.38445,0.000629706,0.000629706,0.000629706
7,34.7699,0.44747,1.96066,0.34659,0.00494,0.22195,0.00456,0.00239,0.64427,3.06918,0.65028,0.000728965,0.000728965,0.000728965
8,39.7312,0.45246,1.86066,0.40202,0.00374,0.22744,0.00511,0.00244,1.02315,2.85282,1.30225,0.000825996,0.000825996,0.000825996
9,44.539,0.48493,1.78259,0.35088,0.0018,0.26923,0.00287,0.00171,0.70706,1.94455,0.87207,0.0009208,0.0009208,0.0009208
10,49.5118,0.42648,1.80166,0.36056,0.0018,0.26923,0.00287,0.00171,0.70706,1.94455,0.87207,0.00101338,0.00101338,0.00101338
11,54.1609,0.60267,1.68031,0.54621,0.00375,0.25,0.01179,0.00541,0.67551,1.84399,0.64436,0.00110373,0.00110373,0.00110373
12,59.0036,0.58134,1.6945,0.58753,0.75362,0.17857,0.0082,0.00425,0.71443,2.06768,0.80944,0.00111388,0.00111388,0.00111388
13,63.961,0.65262,1.97577,0.56565,0.75362,0.17857,0.0082,0.00425,0.71443,2.06768,0.80944,0.0011015,0.0011015,0.0011015
14,68.9621,0.43682,1.86179,0.36568,0.50176,0.17857,0.00939,0.00491,0.41145,1.9704,0.34098,0.00108913,0.00108913,0.00108913
15,73.6939,0.47706,1.66653,0.38675,0.02023,0.49588,0.11764,0.07018,0.42946,1.71252,0.40283,0.00107675,0.00107675,0.00107675
16,79.3407,0.45839,1.66213,0.42908,0.02023,0.49588,0.11764,0.07018,0.42946,1.71252,0.40283,0.00106437,0.00106437,0.00106437
17,85.6346,0.47624,1.60788,0.37515,0.00225,0.38462,0.02447,0.01654,0.52537,1.6094,0.41042,0.001052,0.001052,0.001052
18,90.6575,0.44101,1.65852,0.32144,0.50777,0.13462,0.0345,0.02416,0.48968,1.67086,0.43946,0.00103962,0.00103962,0.00103962
19,95.4187,0.41016,1.85857,0.32521,0.47417,0.32577,0.29493,0.15973,0.48276,1.53026,0.39181,0.00102725,0.00102725,0.00102725
20,100.879,0.37807,1.65381,0.24729,0.47417,0.32577,0.29493,0.15973,0.48276,1.53026,0.39181,0.00101488,0.00101488,0.00101488
21,106.439,0.4625,1.42439,0.29314,0.61757,0.12799,0.27826,0.12776,0.45964,1.53778,0.41548,0.0010025,0.0010025,0.0010025
